
filename,"10.1002adma.202201502.Isotherm13"
DOI,"10.1002/adma.202201502"
articleSource,"Table"
date,"2020-08-10"
digitizer,"Daniel W. Siderius"
adsorbent
hashkey,"NIST-MATDB-f55cae58cff61d336d8b65bece21175f"
name,"MIL-101"
adsorbates
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
name,"Nitrogen"
category,"exp"
temperature,"77"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"7.3E-5"
total_adsorption,"0.087538"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.087538"
line_id,"2"
pressure,"0.000145"
total_adsorption,"4.44849"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.44849"
line_id,"3"
pressure,"0.000197"
total_adsorption,"24.3099"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"24.3099"
line_id,"4"
pressure,"0.000229"
total_adsorption,"43.8685"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"43.8685"
line_id,"5"
pressure,"0.000266"
total_adsorption,"63.7515"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"63.7515"
line_id,"6"
pressure,"0.000325"
total_adsorption,"83.6313"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"83.6313"
line_id,"7"
pressure,"0.000347"
total_adsorption,"84.5319"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"84.5319"
line_id,"8"
pressure,"0.000416"
total_adsorption,"98.2231"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"98.2231"
line_id,"9"
pressure,"0.000497"
total_adsorption,"118.09"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"118.09"
line_id,"10"
pressure,"0.000537"
total_adsorption,"128.917"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"128.917"
line_id,"11"
pressure,"0.000654"
total_adsorption,"148.75"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"148.75"
line_id,"12"
pressure,"0.000679"
total_adsorption,"149.072"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"149.072"
line_id,"13"
pressure,"0.000836"
total_adsorption,"168.938"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"168.938"
line_id,"14"
pressure,"0.001027"
total_adsorption,"188.706"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"188.706"
line_id,"15"
pressure,"0.00103"
total_adsorption,"188.845"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"188.845"
line_id,"16"
pressure,"0.001321"
total_adsorption,"207.716"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"207.716"
line_id,"17"
pressure,"0.001722"
total_adsorption,"227.374"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"227.374"
line_id,"18"
pressure,"0.002142"
total_adsorption,"241.675"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"241.675"
line_id,"19"
pressure,"0.002625"
total_adsorption,"254.863"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"254.863"
line_id,"20"
pressure,"0.003451"
total_adsorption,"271.878"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"271.878"
line_id,"21"
pressure,"0.0042"
total_adsorption,"284.585"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"284.585"
line_id,"22"
pressure,"0.005525"
total_adsorption,"302.159"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"302.159"
line_id,"23"
pressure,"0.006819"
total_adsorption,"316.21"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"316.21"
line_id,"24"
pressure,"0.008747"
total_adsorption,"333.191"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"333.191"
line_id,"25"
pressure,"0.011036"
total_adsorption,"349.607"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"349.607"
line_id,"26"
pressure,"0.013983"
total_adsorption,"366.73"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"366.73"
line_id,"27"
pressure,"0.017631"
total_adsorption,"384.151"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"384.151"
line_id,"28"
pressure,"0.022361"
total_adsorption,"402.768"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"402.768"
line_id,"29"
pressure,"0.028192"
total_adsorption,"422.141"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"422.141"
line_id,"30"
pressure,"0.034915"
total_adsorption,"441.647"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"441.647"
line_id,"31"
pressure,"0.042341"
total_adsorption,"461.04"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"461.04"
line_id,"32"
pressure,"0.045463"
total_adsorption,"468.662"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"468.662"
line_id,"33"
pressure,"0.053707"
total_adsorption,"487.884"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"487.884"
line_id,"34"
pressure,"0.055527"
total_adsorption,"491.957"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"491.957"
line_id,"35"
pressure,"0.065923"
total_adsorption,"514.104"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"514.104"
line_id,"36"
pressure,"0.072701"
total_adsorption,"528.264"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"528.264"
line_id,"37"
pressure,"0.08287"
total_adsorption,"551.267"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"551.267"
line_id,"38"
pressure,"0.089626"
total_adsorption,"568.141"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"568.141"
line_id,"39"
pressure,"0.100861"
total_adsorption,"591.886"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"591.886"
line_id,"40"
pressure,"0.115985"
total_adsorption,"610.102"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"610.102"
line_id,"41"
pressure,"0.141038"
total_adsorption,"629.696"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"629.696"
line_id,"42"
pressure,"0.157368"
total_adsorption,"640.707"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"640.707"
line_id,"43"
pressure,"0.183502"
total_adsorption,"660.531"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"660.531"
line_id,"44"
pressure,"0.194559"
total_adsorption,"686.038"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"686.038"
line_id,"45"
pressure,"0.208921"
total_adsorption,"712.055"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"712.055"
line_id,"46"
pressure,"0.249985"
total_adsorption,"720.213"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"720.213"
line_id,"47"
pressure,"0.306749"
total_adsorption,"727.348"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"727.348"
line_id,"48"
pressure,"0.377401"
total_adsorption,"733.915"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"733.915"
line_id,"49"
pressure,"0.480403"
total_adsorption,"740.961"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"740.961"
line_id,"50"
pressure,"0.544924"
total_adsorption,"744.47"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"744.47"
line_id,"51"
pressure,"0.610437"
total_adsorption,"747.541"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"747.541"
line_id,"52"
pressure,"0.652107"
total_adsorption,"749.357"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"749.357"
line_id,"53"
pressure,"0.693244"
total_adsorption,"751.05"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"751.05"
line_id,"54"
pressure,"0.733849"
total_adsorption,"752.701"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"752.701"
line_id,"55"
