
filename,"10.1002cjoc.201200575.isotherm1"
DOI,"10.1002/cjoc.201200575"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-f55cae58cff61d336d8b65bece21175f"
name,"MIL-101"
adsorbates
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
name,"Nitrogen"
category,""
temperature,"77"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00515504"
total_adsorption,"0.026867"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.026867"
line_id,"2"
pressure,"0.0123058"
total_adsorption,"13.3272"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"13.3272"
line_id,"3"
pressure,"0.0337579"
total_adsorption,"16.7595"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"16.7595"
line_id,"4"
pressure,"0.0595005"
total_adsorption,"19.3338"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"19.3338"
line_id,"5"
pressure,"0.112416"
total_adsorption,"23.1952"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"23.1952"
line_id,"6"
pressure,"0.166761"
total_adsorption,"24.611"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"24.611"
line_id,"7"
pressure,"0.186783"
total_adsorption,"25.5978"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"25.5978"
line_id,"8"
pressure,"0.208235"
total_adsorption,"27.0566"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"27.0566"
line_id,"9"
pressure,"0.249709"
total_adsorption,"27.3569"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"27.3569"
line_id,"10"
pressure,"0.279743"
total_adsorption,"27.4856"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"27.4856"
line_id,"11"
pressure,"0.389864"
total_adsorption,"27.8288"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"27.8288"
line_id,"12"
pressure,"0.515716"
total_adsorption,"28.1292"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"28.1292"
line_id,"13"
pressure,"0.641569"
total_adsorption,"28.3008"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"28.3008"
line_id,"14"
pressure,"0.765991"
total_adsorption,"28.3866"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"28.3866"
line_id,"15"
pressure,"0.864671"
total_adsorption,"28.5582"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"28.5582"
line_id,"16"
pressure,"0.940469"
total_adsorption,"28.6869"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"28.6869"
line_id,"17"
pressure,"0.966211"
total_adsorption,"28.8156"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"28.8156"
line_id,"18"
pressure,"0.991954"
total_adsorption,"29.2447"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"29.2447"

line,"pressure","composition (IJGRMHOSHXDMSA-UHFFFAOYSA-N)","adsorption (IJGRMHOSHXDMSA-UHFFFAOYSA-N)","total_adsorption"
1,"0.00515504","1","0.026867","0.026867"
2,"0.0123058","1","13.3272","13.3272"
3,"0.0337579","1","16.7595","16.7595"
4,"0.0595005","1","19.3338","19.3338"
5,"0.112416","1","23.1952","23.1952"
6,"0.166761","1","24.611","24.611"
7,"0.186783","1","25.5978","25.5978"
8,"0.208235","1","27.0566","27.0566"
9,"0.249709","1","27.3569","27.3569"
10,"0.279743","1","27.4856","27.4856"
11,"0.389864","1","27.8288","27.8288"
12,"0.515716","1","28.1292","28.1292"
13,"0.641569","1","28.3008","28.3008"
14,"0.765991","1","28.3866","28.3866"
15,"0.864671","1","28.5582","28.5582"
16,"0.940469","1","28.6869","28.6869"
17,"0.966211","1","28.8156","28.8156"
18,"0.991954","1","29.2447","29.2447"
