
filename,"10.1016j.micromeso.2012.05.026.isotherm1"
DOI,"10.1016/j.micromeso.2012.05.026"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-70adc65753e53e19b9751edf07eb47c2"
name,"SBA-15"
adsorbates
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
name,"Nitrogen"
category,""
temperature,"77"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00589089"
total_adsorption,"84.596"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"84.596"
line_id,"2"
pressure,"0.0160209"
total_adsorption,"102.096"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"102.096"
line_id,"3"
pressure,"0.0261509"
total_adsorption,"118.429"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"118.429"
line_id,"4"
pressure,"0.0464109"
total_adsorption,"134.763"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"134.763"
line_id,"5"
pressure,"0.0869309"
total_adsorption,"151.096"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"151.096"
line_id,"6"
pressure,"0.125763"
total_adsorption,"163.929"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"163.929"
line_id,"7"
pressure,"0.179789"
total_adsorption,"179.096"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"179.096"
line_id,"8"
pressure,"0.260829"
total_adsorption,"198.929"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"198.929"
line_id,"9"
pressure,"0.323298"
total_adsorption,"210.596"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"210.596"
line_id,"10"
pressure,"0.372259"
total_adsorption,"222.263"
species_data
