
filename,"10.1002adma.202201502.Isotherm15"
DOI,"10.1002/adma.202201502"
articleSource,"Table"
date,"2020-08-10"
digitizer,"Daniel W. Siderius"
adsorbent
hashkey,"NIST-MATDB-2f391b46b4e3f7747db4ad7bba0ccbfd"
name,"MCM-41"
adsorbates
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
name,"Nitrogen"
category,"exp"
temperature,"77"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00992"
total_adsorption,"141.85"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"141.85"
line_id,"2"
pressure,"0.013172"
total_adsorption,"147.3"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"147.3"
line_id,"3"
pressure,"0.017217"
total_adsorption,"153.9"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"153.9"
line_id,"4"
pressure,"0.022285"
total_adsorption,"161.7"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"161.7"
line_id,"5"
pressure,"0.030384"
total_adsorption,"172.9"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"172.9"
line_id,"6"
pressure,"0.040184"
total_adsorption,"183.788"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"183.788"
line_id,"7"
pressure,"0.056765"
total_adsorption,"197.1"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"197.1"
line_id,"8"
pressure,"0.07224"
total_adsorption,"206.89"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"206.89"
line_id,"9"
pressure,"0.106318"
total_adsorption,"225.112"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"225.112"
line_id,"10"
pressure,"0.131418"
total_adsorption,"236.616"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"236.616"
line_id,"11"
pressure,"0.16208"
total_adsorption,"249.475"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"249.475"
line_id,"12"
pressure,"0.194286"
total_adsorption,"262.327"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"262.327"
line_id,"13"
pressure,"0.225554"
total_adsorption,"274.802"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"274.802"
line_id,"14"
pressure,"0.256288"
total_adsorption,"287.723"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"287.723"
line_id,"15"
pressure,"0.287791"
total_adsorption,"303.513"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"303.513"
line_id,"16"
pressure,"0.309178"
total_adsorption,"320.3"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"320.3"
line_id,"17"
pressure,"0.3202"
total_adsorption,"333.943"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"333.943"
line_id,"18"
pressure,"0.338295"
total_adsorption,"392.7"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"392.7"
line_id,"19"
pressure,"0.348518"
total_adsorption,"420.773"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"420.773"
line_id,"20"
pressure,"0.377934"
total_adsorption,"458.9"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"458.9"
line_id,"21"
pressure,"0.433217"
total_adsorption,"493.679"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"493.679"
line_id,"22"
pressure,"0.453507"
total_adsorption,"495.091"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"495.091"
line_id,"23"
pressure,"0.483214"
total_adsorption,"496.975"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"496.975"
line_id,"24"
pressure,"0.506357"
total_adsorption,"498.291"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"498.291"
line_id,"25"
pressure,"0.536878"
total_adsorption,"499.888"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"499.888"
line_id,"26"
pressure,"0.56801"
total_adsorption,"501.384"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"501.384"
line_id,"27"
pressure,"0.599047"
total_adsorption,"502.776"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"502.776"
line_id,"28"
pressure,"0.630119"
total_adsorption,"504.132"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"504.132"
line_id,"29"
pressure,"0.661434"
total_adsorption,"505.412"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"505.412"
line_id,"30"
pressure,"0.692322"
total_adsorption,"506.643"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"506.643"
line_id,"31"
pressure,"0.723407"
total_adsorption,"507.858"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"507.858"
line_id,"32"
pressure,"0.754429"
total_adsorption,"509.086"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"509.086"
line_id,"33"
pressure,"0.785398"
total_adsorption,"510.351"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"510.351"
line_id,"34"
pressure,"0.817478"
total_adsorption,"511.668"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"511.668"
line_id,"35"
pressure,"0.847634"
total_adsorption,"512.973"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"512.973"
line_id,"36"
pressure,"0.878507"
total_adsorption,"514.441"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"514.441"
line_id,"37"
pressure,"0.909114"
total_adsorption,"516.307"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"516.307"
line_id,"38"
pressure,"0.950296"
total_adsorption,"520.878"
species_data
InChIKey,"IJGRMHOSHXDMSA-UHFFFAOYSA-N"
composition,"1"
adsorption,"520.878"

line,"pressure","composition (IJGRMHOSHXDMSA-UHFFFAOYSA-N)","adsorption (IJGRMHOSHXDMSA-UHFFFAOYSA-N)","total_adsorption"
1,"0.00992","1","141.85","141.85"
2,"0.013172","1","147.3","147.3"
3,"0.017217","1","153.9","153.9"
4,"0.022285","1","161.7","161.7"
5,"0.030384","1","172.9","172.9"
6,"0.040184","1","183.788","183.788"
7,"0.056765","1","197.1","197.1"
8,"0.07224","1","206.89","206.89"
9,"0.106318","1","225.112","225.112"
10,"0.131418","1","236.616","236.616"
11,"0.16208","1","249.475","249.475"
12,"0.194286","1","262.327","262.327"
13,"0.225554","1","274.802","274.802"
14,"0.256288","1","287.723","287.723"
15,"0.287791","1","303.513","303.513"
16,"0.309178","1","320.3","320.3"
17,"0.3202","1","333.943","333.943"
18,"0.338295","1","392.7","392.7"
19,"0.348518","1","420.773","420.773"
20,"0.377934","1","458.9","458.9"
21,"0.433217","1","493.679","493.679"
22,"0.453507","1","495.091","495.091"
23,"0.483214","1","496.975","496.975"
24,"0.506357","1","498.291","498.291"
25,"0.536878","1","499.888","499.888"
26,"0.56801","1","501.384","501.384"
27,"0.599047","1","502.776","502.776"
28,"0.630119","1","504.132","504.132"
29,"0.661434","1","505.412","505.412"
30,"0.692322","1","506.643","506.643"
31,"0.723407","1","507.858","507.858"
32,"0.754429","1","509.086","509.086"
33,"0.785398","1","510.351","510.351"
34,"0.817478","1","511.668","511.668"
35,"0.847634","1","512.973","512.973"
36,"0.878507","1","514.441","514.441"
37,"0.909114","1","516.307","516.307"
38,"0.950296","1","520.878","520.878"
